tcode,description,module,status,replacement,replacement_type,sap_reference,delta_note,review_status,source_item,source_page
CL6R,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CLB1,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CLB2,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CLB3,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CLNA,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CN06,,PPM,deleted,,none,"S4TWL - Selected Project System Interfaces (S4TWL item 10.1.27, SAP Note 2267288)",,pending,10.1.27,865
CN07,,PPM,deleted,,none,"S4TWL - Selected Project System Interfaces (S4TWL item 10.1.27, SAP Note 2267288)",,pending,10.1.27,865
COMCPRD_BSP_ID,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMC_MATERIALID_ALL,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMC_PRODUCT_IDX,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMC_PR_ALTID,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMC_PR_ALTID_BSP,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMC_PR_OBJ_FAM,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMC_PR_OBJ_FAM1,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMC_PR_RFCDEST,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMC_SERVICEID_ALL,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMMPR01,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMMPR02,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMMPR_PCUI,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMM_DEL_PRWB_USER,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMM_EXTRSET,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMM_HIERARCHY,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMM_IOBJ_RECATEG,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMM_MSG01,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMM_PRAPPLCAT,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMM_PRDARC,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
COMM_PROD_RECATEG,,MDM,replaced,,none,"S4TWL - SRM Product Master (S4TWL item 5.1.7, SAP Note 2267297)",,pending,5.1.7,103
